X_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
778532,353 St Germain Ave,Front Yard Parking,0,36,73,32,18,25% of ballots received by voters,0,72,1,4,2015-06-18,0,73,2018-06-19,2015-05-20,19,50% + 1 of received ballots,FYP 2015-118,184,In Favour,93,Yes
778533,,Traffic Calming,0,24,43,19,23,50% + 1 of ballots received by voters,5,43,0,0,2015-06-19,0,43,2017-06-20,2015-05-21,15,60% of received ballots,TCP 2015-119,185,In Favour,48,Yes
778534,,Traffic Calming,0,55,78,47,40,50% + 1 of ballots received by voters,8,78,0,0,2015-06-23,0,78,2017-06-24,2015-05-25,33,60% of received ballots,TCP 2015-120,186,In Favour,93,Yes
778535,2152 Danforth Ave,Boulevard Cafe,0,3,16,0,4,25% of ballots received by voters,3,15,1,0,2015-06-25,0,16,2017-06-26,2015-05-27,N/A,50% + 1 of received ballots,BCP 2015-121,187,Response Rate Not Met,23,No
778536,,Traffic Calming,0,54,90,43,46,50% + 1 of ballots received by voters,10,89,1,1,2015-06-24,0,90,2017-06-25,2015-05-26,33,60% of received ballots,TCP 2015-122,188,In Favour,106,Yes
778537,,Traffic Calming,2,82,138,63,66,50% + 1 of ballots received by voters,13,131,7,4,2015-06-30,0,138,2017-07-01,2015-06-01,50,60% of received ballots,TCP 2015-123,189,In Favour,167,Yes
778538,,Traffic Calming,0,134,271,99,132,50% + 1 of ballots received by voters,33,261,10,2,2015-06-26,0,271,2017-06-27,2015-05-28,81,60% of received ballots,TCP 2015-124,190,In Favour,326,Yes
778539,,Traffic Calming,0,87,261,63,126,50% + 1 of ballots received by voters,23,250,11,1,2015-06-26,0,261,2017-06-27,2015-05-28,N/A,60% of received ballots,TCP 2015-125,191,Response Rate Not Met,284,No
778540,,Traffic Calming,0,68,138,44,68,50% + 1 of ballots received by voters,17,133,5,7,2015-06-30,0,138,2017-07-01,2015-06-01,41,60% of received ballots,TCP 2015-126,192,In Favour,189,Yes
778541,866 Bloor St W,Boulevard Cafe,0,1,24,1,3,25% of ballots received by voters,0,9,15,0,2015-06-30,0,24,2017-07-01,2015-06-01,N/A,50% + 1 of received ballots,BCP 2015-127,193,Response Rate Not Met,26,No
778542,,Traffic Calming,0,2,11,1,4,50% + 1 of ballots received by voters,1,6,5,0,2015-06-30,0,11,2017-07-01,2015-06-01,N/A,60% of received ballots,TCP 2015-128,194,Response Rate Not Met,17,No
778543,540 College St (former Toronto),Boulevard Cafe,0,31,151,18,37,25% of ballots received by voters,11,145,6,2,2015-07-07,0,151,2017-07-08,2015-06-08,N/A,50% + 1 of received ballots,BCP 2015-129,195,Response Rate Not Met,177,No
778544,100 Sorauren Ave,Boulevard Cafe,0,27,92,21,23,25% of ballots received by voters,1,89,3,5,2015-07-07,0,92,2017-07-08,2015-06-08,15,50% + 1 of received ballots,BCP 2015-130,196,In Favour,110,Yes
778545,355 Danforth Ave,Boulevard Cafe,0,30,76,23,19,25% of ballots received by voters,1,73,3,6,2015-07-09,0,76,2017-07-10,2015-06-10,16,50% + 1 of received ballots,BCP 2015-131,197,In Favour,108,Yes
778546,538 Danforth Ave,Boulevard Cafe,0,50,146,45,35,25% of ballots received by voters,3,139,7,2,2015-07-07,1,146,2017-07-08,2015-06-08,26,50% + 1 of received ballots,BCP 2015-132,198,In Favour,174,Yes
778547,536 Soudan Ave,Appeal - Front Yard Parking,0,25,59,23,15,25% of ballots received by voters,0,59,0,2,2015-07-10,0,59,2018-07-11,2015-06-11,14,50% + 1 of received ballots,FYPA 2015-133,199,In Favour,68,Yes
778548,128 Montgomery Ave (former Toronto),Appeal - Front Yard Parking,0,29,75,11,19,25% of ballots received by voters,16,73,2,2,2015-07-10,1,75,2018-07-11,2015-06-11,16,50% + 1 of received ballots,FYPA 2015-134,200,Opposed,216,Yes
778549,132 Mortimer Ave,Appeal - Front Yard Parking,2,41,87,34,20,25% of ballots received by voters,2,80,7,3,2015-07-14,0,87,2018-07-15,2015-06-15,22,50% + 1 of received ballots,FYPA 2015-135,201,In Favour,96,Yes
778550,38 Henning Ave,Appeal - Front Yard Parking,0,41,59,37,14,25% of ballots received by voters,1,53,6,3,2015-07-14,0,59,2018-07-15,2015-06-15,22,50% + 1 of received ballots,FYPA 2015-136,202,In Favour,73,Yes
778551,481 Woburn Ave,Appeal - Front Yard Parking,0,31,65,21,17,25% of ballots received by voters,4,65,0,6,2015-07-15,0,65,2018-07-16,2015-06-16,17,50% + 1 of received ballots,FYPA 2015-137,203,In Favour,75,Yes
778552,45 Cranbrooke Ave,Appeal - Front Yard Parking,0,56,113,31,27,25% of ballots received by voters,16,105,8,9,2015-07-15,0,113,2018-07-16,2015-06-16,29,50% + 1 of received ballots,FYPA 2015-138,204,In Favour,135,Yes
778553,444 Eglinton Ave W,Boulevard Cafe,0,0,22,0,6,25% of ballots received by voters,0,22,0,0,2015-07-15,0,22,2017-07-16,2015-06-16,N/A,50% + 1 of received ballots,BCP 2015-139,207,Response Rate Not Met,23,No
778554,,Traffic Calming,0,39,100,18,45,50% + 1 of ballots received by voters,18,88,12,3,2015-07-09,1,100,2017-07-10,2015-06-10,N/A,60% of received ballots,TCP 2015-140,208,Response Rate Not Met,133,No
778555,,Traffic Calming,0,34,54,22,28,50% + 1 of ballots received by voters,9,53,1,3,2015-07-16,0,54,2017-07-17,2015-06-17,21,60% of received ballots,TCP 2015-141,209,In Favour,63,Yes
778556,24 Ramsden Rd,Front Yard Parking,0,17,29,16,8,25% of ballots received by voters,0,29,0,1,2015-07-24,0,29,2018-07-25,2015-06-24,10,50% + 1 of received ballots,FYP 2015-142,210,In Favour,39,Yes
778557,2002 Queen St E,Boulevard Cafe,0,26,66,10,15,25% of ballots received by voters,8,60,6,8,2015-07-16,0,66,2017-07-17,2015-06-17,14,50% + 1 of received ballots,BCP 2015-143,211,Opposed,82,Yes
778558,1346 Queen St W,Boulevard Cafe,0,0,18,0,4,25% of ballots received by voters,0,14,4,0,2015-07-17,0,18,2017-07-18,2015-06-18,N/A,50% + 1 of received ballots,BCP 2015-144,212,Response Rate Not Met,28,No
778559,1375 Dundas St W,Boulevard Cafe,2,35,43,32,11,25% of ballots received by voters,1,43,0,0,2015-07-23,0,43,2017-07-24,2015-06-23,19,50% + 1 of received ballots,BCP 2015-145,213,In Favour,55,Yes
778560,105 Scarborough Rd,Appeal - Front Yard Parking,0,33,67,4,17,25% of ballots received by voters,23,66,1,6,2015-07-29,0,67,2018-07-30,2015-06-29,18,50% + 1 of received ballots,FYPA 2015-146,214,Opposed,129,Yes
778561,85 Astoria Ave,Appeal - Front Yard Parking,0,20,40,20,10,25% of ballots received by voters,0,37,3,0,2015-07-25,0,40,2018-07-26,2015-06-25,11,50% + 1 of received ballots,FYPA 2015-147,215,In Favour,49,Yes
778562,216 Scarborough Rd,Appeal - Front Yard Parking,0,47,84,33,21,25% of ballots received by voters,5,83,1,9,2015-07-29,0,84,2018-07-30,2015-06-29,25,50% + 1 of received ballots,FYPA 2015-148,216,In Favour,92,Yes
778563,212 Wineva Ave,Appeal - Front Yard Parking,0,48,127,32,32,25% of ballots received by voters,10,127,0,6,2015-07-25,0,127,2018-07-26,2015-06-25,25,50% + 1 of received ballots,FYPA 2015-149,217,In Favour,156,Yes
778564,,Traffic Calming,0,36,86,30,42,50% + 1 of ballots received by voters,5,81,5,1,2015-08-14,0,86,2017-08-15,2015-07-15,N/A,60% of received ballots,TCP 2015-150,218,Response Rate Not Met,93,No
778565,482 Northcliffe Blvd,Appeal - Front Yard Parking,0,27,101,20,24,25% of ballots received by voters,2,96,5,5,2015-07-29,0,101,2018-07-30,2015-06-29,15,50% + 1 of received ballots,FYPA 2015-151,219,In Favour,119,Yes
778566,37 Cavendish St,Appeal - Front Yard Parking,0,24,56,20,13,25% of ballots received by voters,2,50,6,2,2015-07-30,0,56,2018-07-31,2015-06-30,13,50% + 1 of received ballots,FYPA 2015-152,220,In Favour,62,Yes
778567,226 Ava Rd,Appeal - Front Yard Parking,0,26,30,24,8,25% of ballots received by voters,2,30,0,0,2015-08-01,0,30,2018-08-02,2015-07-02,14,50% + 1 of received ballots,FYPA 2015-153,221,In Favour,34,Yes
778568,114 Foxwell St,Appeal - Front Yard Parking,0,48,77,45,19,25% of ballots received by voters,2,75,2,1,2015-08-01,1,77,2018-08-02,2015-07-02,25,50% + 1 of received ballots,FYPA 2015-154,222,In Favour,94,Yes
778569,170 Roe Ave,Front Yard Parking,0,29,94,20,23,25% of ballots received by voters,2,91,3,7,2015-08-06,0,94,2018-08-07,2015-07-07,16,50% + 1 of received ballots,FYP 2015-155,223,In Favour,109,Yes
778570,1159 Davenport Rd,Boulevard Cafe,0,28,98,20,24,25% of ballots received by voters,6,93,5,2,2015-08-06,0,98,2017-08-07,2015-07-07,15,50% + 1 of received ballots,BCP 2015-156,224,In Favour,123,Yes
778571,792 Queen St E,Boulevard Cafe,0,30,65,1,17,25% of ballots received by voters,28,65,0,1,2015-08-07,6,65,2017-08-08,2015-07-08,16,50% + 1 of received ballots,BCP 2015-157,225,Opposed,73,Yes
778572,88 Evans Ave (former Toronto),Appeal - Front Yard Parking,0,42,99,35,24,25% of ballots received by voters,3,94,5,4,2015-08-08,0,99,2018-08-09,2015-07-09,22,50% + 1 of received ballots,FYPA 2015-158,226,In Favour,119,Yes
778573,30 Flanders Rd,Appeal - Front Yard Parking,0,19,34,12,9,25% of ballots received by voters,4,34,0,3,2015-08-12,0,34,2018-08-13,2015-07-13,11,50% + 1 of received ballots,FYPA 2015-159,227,In Favour,38,Yes
778574,,Traffic Calming,0,6,56,5,25,50% + 1 of ballots received by voters,1,48,8,0,2015-08-19,0,56,2017-08-20,2015-07-20,N/A,60% of received ballots,TCP 2015-162,230,Response Rate Not Met,59,No
778575,,Traffic Calming,0,40,106,19,52,50% + 1 of ballots received by voters,18,102,4,3,2015-08-22,0,106,2017-08-23,2015-07-23,N/A,60% of received ballots,TCP 2015-166,234,Response Rate Not Met,127,No
778576,1366 Yonge St,Boulevard Cafe,0,104,315,57,72,25% of ballots received by voters,38,287,28,9,2015-08-22,0,315,2017-08-23,2015-07-23,53,50% + 1 of received ballots,BCP 2015-167,235,In Favour,341,Yes
778577,,Traffic Calming,0,215,358,170,179,50% + 1 of ballots received by voters,40,355,3,5,2015-08-22,0,358,2017-08-23,2015-07-23,129,60% of received ballots,TCP 2015-168,236,In Favour,423,Yes
778578,90 Runnymede Rd,Front Yard Parking,0,54,97,46,24,25% of ballots received by voters,4,95,2,4,2015-08-26,0,97,2018-08-27,2015-07-27,28,50% + 1 of received ballots,FYP 2015-169,237,In Favour,128,Yes
778579,,Traffic Calming,0,37,86,19,44,50% + 1 of ballots received by voters,15,86,0,3,2015-08-27,0,86,2017-08-28,2015-07-28,N/A,60% of received ballots,TCP 2015-170,238,Response Rate Not Met,159,No
778580,,Traffic Calming,0,44,69,28,36,50% + 1 of ballots received by voters,15,69,0,1,2015-08-26,0,69,2017-08-27,2015-07-27,27,60% of received ballots,TCP 2015-171,239,In Favour,77,Yes
778581,,Traffic Calming,0,59,75,31,38,50% + 1 of ballots received by voters,25,73,2,3,2015-08-27,0,75,2017-08-28,2015-07-28,36,60% of received ballots,TCP 2015-172,240,Opposed,86,Yes
778582,1090 Bloor St W,Boulevard Cafe,0,21,134,14,32,25% of ballots received by voters,7,126,8,0,2015-08-27,0,134,2017-08-28,2015-07-28,N/A,50% + 1 of received ballots,BCP 2015-173,241,Response Rate Not Met,155,No
778583,11 Lonsdale Rd,Front Yard Parking,0,22,53,14,12,25% of ballots received by voters,7,48,5,1,2015-08-27,0,53,2018-08-28,2015-07-28,12,50% + 1 of received ballots,FYP 2015-175,243,In Favour,90,Yes
778584,9 Lonsdale Rd,Front Yard Parking,0,20,51,14,12,25% of ballots received by voters,5,48,3,1,2015-08-26,0,51,2018-08-27,2015-07-27,11,50% + 1 of received ballots,FYP 2015-176,244,In Favour,88,Yes
778585,,Traffic Calming,0,90,314,60,150,50% + 1 of ballots received by voters,18,298,16,12,2015-09-03,0,314,2017-09-04,2015-08-04,N/A,60% of received ballots,TCP 2015-177,245,Response Rate Not Met,388,No
778586,40 Rosethorn Ave,Appeal - Front Yard Parking,0,54,154,42,38,25% of ballots received by voters,5,149,5,7,2015-08-29,0,154,2018-08-30,2015-07-30,28,50% + 1 of received ballots,FYPA 2015-179,248,In Favour,187,Yes
778587,328 Runnymede Rd,Appeal - Front Yard Parking,0,68,107,48,27,25% of ballots received by voters,12,105,2,8,2015-09-05,0,107,2018-09-06,2015-08-06,35,50% + 1 of received ballots,FYPA 2015-180,249,In Favour,134,Yes
778588,16 Heddington Ave,Front Yard Parking,0,14,41,14,10,25% of ballots received by voters,0,38,3,0,2015-09-05,0,41,2018-09-06,2015-08-06,8,50% + 1 of received ballots,FYP 2015-181,250,In Favour,44,Yes
778589,37 Castlefield Ave,Appeal - Front Yard Parking,0,45,74,30,19,25% of ballots received by voters,15,73,1,0,2015-09-09,2,74,2018-09-10,2015-08-10,24,50% + 1 of received ballots,FYPA 2015-182,251,In Favour,85,Yes
778590,269 Glebeholme Blvd,Appeal - Front Yard Parking,0,76,148,38,35,25% of ballots received by voters,33,138,10,5,2015-09-12,0,148,2018-09-13,2015-08-13,39,50% + 1 of received ballots,FYPA 2015-183,252,Opposed,183,Yes
778591,121 Craighurst Ave,Appeal - Front Yard Parking,0,60,97,58,23,25% of ballots received by voters,0,91,6,2,2015-09-09,0,97,2018-09-10,2015-08-10,31,50% + 1 of received ballots,FYPA 2015-184,253,In Favour,113,Yes
778592,,Proposed Business Improvement Area,0,14,36,11,11,30% of ballots received by voters or 100,3,34,2,0,2015-10-16,6,36,2017-10-17,2015-08-17,7,50% of received ballots,PBIA 2015-185,254,In Favour,1178,Yes
778593,,Permit Parking,0,8,11,5,3,25% of ballots received by voters,3,9,2,0,2015-09-12,0,11,2017-09-13,2015-08-13,5,50% + 1 of received ballots,PPP 2015-187,256,In Favour,18,Yes
778594,36 Vaughan Rd,Boulevard Cafe,0,35,93,11,21,25% of ballots received by voters,21,83,10,3,2015-09-23,0,93,2017-09-24,2015-08-24,19,50% + 1 of received ballots,BCP 2015-188,257,Opposed,108,Yes
778595,79 Ellerbeck St,Appeal - Front Yard Parking,0,51,101,30,24,25% of ballots received by voters,14,95,6,7,2015-10-02,0,101,2018-10-03,2015-09-02,27,50% + 1 of received ballots,FYPA 2015-189,258,In Favour,131,Yes
778596,366 Old Orchard Grv,Appeal - Front Yard Parking,1,54,111,48,26,25% of ballots received by voters,2,104,7,3,2015-10-02,0,111,2018-10-03,2015-09-02,28,50% + 1 of received ballots,FYPA 2015-190,259,In Favour,135,Yes
778597,153 Westwood Ave,Appeal - Front Yard Parking,0,15,46,13,12,25% of ballots received by voters,0,46,0,2,2015-10-02,0,46,2018-10-03,2015-09-02,9,50% + 1 of received ballots,FYPA 2015-191,260,In Favour,48,Yes
778598,38 Rambert Cres,Appeal - Front Yard Parking,0,27,35,26,9,25% of ballots received by voters,0,35,0,1,2015-10-03,0,35,2018-10-04,2015-09-03,15,50% + 1 of received ballots,FYPA 2015-192,261,In Favour,42,Yes
778599,24 Royal St,Appeal - Front Yard Parking,0,70,115,67,29,25% of ballots received by voters,0,115,0,3,2015-10-02,1,115,2018-10-03,2015-09-02,36,50% + 1 of received ballots,FYPA 2015-193,262,In Favour,145,Yes
778600,531 Northcliffe Blvd,Appeal - Front Yard Parking,0,38,123,29,29,25% of ballots received by voters,8,115,8,1,2015-10-03,0,123,2018-10-04,2015-09-03,20,50% + 1 of received ballots,FYPA 2015-194,263,In Favour,140,Yes
778601,193 Eastwood Rd,Appeal - Front Yard Parking,0,12,35,8,9,25% of ballots received by voters,4,33,2,0,2015-10-03,0,35,2018-10-04,2015-09-03,7,50% + 1 of received ballots,FYPA 2015-195,264,In Favour,37,Yes
778602,27 Strathearn Blvd,Front Yard Parking,0,24,33,15,9,25% of ballots received by voters,6,33,0,3,2015-10-03,0,33,2018-10-04,2015-09-03,13,50% + 1 of received ballots,FYP 2015-196,265,In Favour,34,Yes
778603,38 Harwood Rd,Front Yard Parking,0,21,32,21,8,25% of ballots received by voters,0,32,0,0,2015-10-08,0,32,2018-10-09,2015-09-08,12,50% + 1 of received ballots,FYP 2015-197,266,In Favour,37,Yes
778604,52 Bicknell Ave,Front Yard Parking,0,20,52,20,13,25% of ballots received by voters,0,52,0,0,2015-10-08,0,52,2018-10-09,2015-09-08,11,50% + 1 of received ballots,FYP 2015-198,267,In Favour,75,Yes
778605,76 Alameda Ave,Front Yard Parking,0,24,38,19,10,25% of ballots received by voters,1,38,0,4,2015-10-08,0,38,2018-10-09,2015-09-08,13,50% + 1 of received ballots,FYP 2015-199,268,In Favour,43,Yes
778606,,Traffic Calming,0,150,319,119,158,50% + 1 of ballots received by voters,21,313,6,10,2015-10-15,0,319,2017-10-16,2015-09-15,N/A,60% of received ballots,TCP 2015-200,269,Response Rate Not Met,384,No
778607,,Permit Parking,0,60,294,28,68,25% of ballots received by voters,28,270,24,4,2015-10-16,2,294,2017-10-17,2015-09-16,N/A,50% + 1 of received ballots,PPP 2015-201,270,Response Rate Not Met,311,No
778608,351 Nairn Ave,Appeal - Front Yard Parking,0,25,49,23,12,25% of ballots received by voters,0,47,2,2,2015-10-21,0,49,2018-10-22,2015-09-21,14,50% + 1 of received ballots,FYPA 2015-202,271,In Favour,71,Yes
778609,263 Glenholme Ave,Front Yard Parking,0,23,68,20,17,25% of ballots received by voters,0,67,1,3,2015-10-17,0,68,2018-10-18,2015-09-17,13,50% + 1 of received ballots,FYP 2015-203,272,In Favour,93,Yes
778610,216 Glenholme Ave,Appeal - Front Yard Parking,0,46,95,33,22,25% of ballots received by voters,7,88,7,6,2015-10-22,0,95,2018-10-23,2015-09-22,24,50% + 1 of received ballots,FYPA 2015-204,273,In Favour,117,Yes
778611,424 Millwood Rd,Front Yard Parking,0,45,74,45,19,25% of ballots received by voters,0,73,1,0,2015-10-17,0,74,2018-10-18,2015-09-17,24,50% + 1 of received ballots,FYP 2015-206,275,In Favour,87,Yes
778612,329 St Clements Ave,Front Yard Parking,0,38,78,36,20,25% of ballots received by voters,0,77,1,2,2015-10-29,0,78,2018-10-30,2015-09-29,20,50% + 1 of received ballots,FYP 2015-207,276,In Favour,102,Yes
778613,93 Kennedy Ave,Appeal - Front Yard Parking,0,37,85,28,20,25% of ballots received by voters,3,80,5,6,2015-10-23,0,85,2018-10-24,2015-09-23,20,50% + 1 of received ballots,FYPA 2015-208,277,In Favour,117,Yes
778614,739 Queen St E,Commercial Boulevard Parking,0,11,86,5,21,25% of ballots received by voters,5,83,3,1,2015-10-30,0,86,2017-10-31,2015-09-30,N/A,50% + 1 of received ballots,CBP 2015-209,278,Response Rate Not Met,102,No
778615,2205 Queen St E,Commercial Boulevard Parking,0,11,28,5,7,25% of ballots received by voters,6,26,2,0,2015-10-24,0,28,2017-10-25,2015-09-24,7,50% + 1 of received ballots,CBP 2015-210,279,Opposed,54,Yes
778616,1330 Gerrard St E,Commercial Boulevard Parking,0,10,85,4,21,25% of ballots received by voters,6,84,1,0,2015-10-31,0,85,2017-11-01,2015-10-01,N/A,50% + 1 of received ballots,CBP 2015-211,280,Response Rate Not Met,115,No
778617,377 Winnett Ave,Front Yard Parking,0,49,103,39,25,25% of ballots received by voters,7,97,6,3,2015-10-24,0,103,2018-10-25,2015-09-24,26,50% + 1 of received ballots,FYP 2015-212,281,In Favour,111,Yes
778618,20 Durham Ave,Front Yard Parking,0,13,28,12,7,25% of ballots received by voters,0,26,2,1,2015-10-28,3,28,2018-10-29,2015-09-28,8,50% + 1 of received ballots,FYP 2015-213,282,In Favour,29,Yes
778619,10 Hiawatha Rd,Front Yard Parking,0,32,114,30,28,25% of ballots received by voters,1,111,3,1,2015-10-28,0,114,2018-10-29,2015-09-28,17,50% + 1 of received ballots,FYP 2015-214,283,In Favour,135,Yes
778620,158 Lyndhurst Ave,Front Yard Parking,0,30,65,21,15,25% of ballots received by voters,3,58,7,6,2015-10-29,0,65,2018-10-30,2015-09-29,16,50% + 1 of received ballots,FYP 2015-215,284,In Favour,81,Yes
778621,135 Cedric Ave,Front Yard Parking,0,34,153,25,36,25% of ballots received by voters,8,143,10,1,2015-10-29,0,153,2018-10-30,2015-09-29,N/A,50% + 1 of received ballots,FYP 2015-216,285,Response Rate Not Met,194,No
778622,33 Pinewood Ave,Front Yard Parking,0,54,102,50,20,25% of ballots received by voters,0,80,22,4,2015-10-31,0,102,2018-11-01,2015-10-01,28,50% + 1 of received ballots,FYP 2015-217,286,In Favour,149,Yes
778623,,Traffic Calming,0,88,205,59,100,50% + 1 of ballots received by voters,11,197,8,18,2015-11-05,0,205,2017-11-06,2015-10-06,N/A,60% of received ballots,TCP 2015-219,288,Response Rate Not Met,248,No
778624,17 Bellefair Ave,Front Yard Parking,0,63,100,54,25,25% of ballots received by voters,2,100,0,7,2015-11-13,1,100,2018-11-14,2015-10-14,33,50% + 1 of received ballots,FYP 2015-220,289,In Favour,135,Yes
778625,76 Glengarry Ave,Front Yard Parking,0,47,100,45,25,25% of ballots received by voters,0,99,1,2,2015-11-14,1,100,2018-11-15,2015-10-15,25,50% + 1 of received ballots,FYP 2015-221,290,In Favour,112,Yes
778626,75 Ronald Ave,Front Yard Parking,0,17,39,16,9,25% of ballots received by voters,0,34,5,1,2015-11-18,0,39,2018-11-19,2015-10-19,10,50% + 1 of received ballots,FYP 2015-222,291,In Favour,44,Yes
778627,284 Atlas Ave,Front Yard Parking,0,46,144,39,31,25% of ballots received by voters,6,123,21,1,2015-11-13,0,144,2018-11-14,2015-10-14,24,50% + 1 of received ballots,FYP 2015-223,292,In Favour,165,Yes
778628,88 Maclean Ave,Front Yard Parking,0,21,46,21,11,25% of ballots received by voters,0,43,3,0,2015-11-14,0,46,2018-11-15,2015-10-15,12,50% + 1 of received ballots,FYP 2015-224,293,In Favour,56,Yes
778629,151 Everden Rd,Front Yard Parking,0,24,37,24,10,25% of ballots received by voters,0,37,0,0,2015-11-14,0,37,2018-11-15,2015-10-15,13,50% + 1 of received ballots,FYP 2015-225,294,In Favour,38,Yes
778630,16 Raymond Ave,Appeal - Front Yard Parking,0,22,29,19,8,25% of ballots received by voters,3,29,0,0,2015-11-21,0,29,2018-11-22,2015-10-22,12,50% + 1 of received ballots,FYPA 2015-226,295,In Favour,39,Yes
778631,442 Armadale Ave,Appeal - Front Yard Parking,0,39,84,23,21,25% of ballots received by voters,6,82,2,10,2015-11-21,0,84,2018-11-22,2015-10-22,21,50% + 1 of received ballots,FYPA 2015-227,296,In Favour,110,Yes
778632,14 Ellis Park Rd,Appeal - Front Yard Parking,0,23,48,6,12,25% of ballots received by voters,17,46,2,0,2015-11-25,0,48,2018-11-26,2015-10-26,13,50% + 1 of received ballots,FYPA 2015-228,297,Opposed,55,Yes
778633,46 Laws St,Appeal - Front Yard Parking,0,66,147,43,34,25% of ballots received by voters,10,134,13,13,2015-11-25,0,147,2018-11-26,2015-10-26,34,50% + 1 of received ballots,FYPA 2015-229,298,In Favour,183,Yes
778634,51 Montgomery Ave (former Toronto),Appeal - Front Yard Parking,0,15,47,14,12,25% of ballots received by voters,0,46,1,1,2015-11-27,0,47,2018-11-28,2015-10-28,9,50% + 1 of received ballots,FYPA 2015-230,299,In Favour,56,Yes
778635,196 Roselawn Ave,Appeal - Front Yard Parking,0,19,42,19,10,25% of ballots received by voters,0,39,3,0,2015-11-26,0,42,2018-11-27,2015-10-27,11,50% + 1 of received ballots,FYPA 2015-231,300,In Favour,45,Yes
778636,,Proposed Business Improvement Area,0,20,62,18,15,30% of ballots received by voters or 100,2,47,15,0,2016-01-29,42,62,2018-01-30,2015-11-30,10,50% of received ballots,PBIA 2015-232,301,In Favour,13458,Yes
778637,,Traffic Calming,0,302,1637,201,752,50% + 1 of ballots received by voters,40,1501,136,61,2015-12-16,1,1637,2017-12-17,2015-11-16,N/A,60% of received ballots,TCP 2015-235,305,Response Rate Not Met,1749,No
778638,,Traffic Calming,0,137,451,44,204,50% + 1 of ballots received by voters,77,406,45,16,2015-12-05,2,451,2017-12-06,2015-11-05,N/A,60% of received ballots,TCP 2015-236,306,Response Rate Not Met,573,No
